title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
Strangerland,Drama Thriller,Nicole Kidman Joseph Fiennes Hugo Weaving Lisa Flanagan Megan Alston,Kim Farrant,5.1,5.145655,"Newly arrived to a remote desert town, Catherine and Matthew are tormented by a suspicion when their two teenage children mysteriously vanish.",strangerland,newly arrived remote desert town catherine matthew tormented suspicion two teenage child mysteriously vanish,nicole kidman joseph fiennes hugo weaving lisa flanagan megan alston,kim farrant
Janky Promoters,Comedy,Ice Cube Mike Epps Young Jeezy Darris Love Julio Oscar Mechoso,Marcus Raboy,7.0,1.728816,Two shady concert promoters get into hot water when their chance to book a superstar rapper goes awry.,janky promoters,two shady concert promoter get hot water chance book superstar rapper go awry,ice cube mike epps young jeezy darris love julio oscar mechoso,marcus raboy
Blonde Ambition,Comedy Romance,Jessica Simpson Luke Wilson Rachael Leigh Cook Penelope Ann Miller Andy Dick,Scott Marshall Smith,3.9,3.064563,A young professional woman (Simpson) unwittingly becomes the pawn of two business executives in their bid to oust the head of a mega-conglomerate.,blonde ambition,young professional woman simpson unwittingly becomes pawn two business executive bid oust head mega conglomerate,jessica simpson luke wilson rachael leigh cook penelope ann miller andy dick,scott marshall smith
The Oxford Murders,Crime Mystery Thriller,Elijah Wood John Hurt Leonor Watling Julie Cox Jim Carter,Álex de la Iglesia,5.7,9.318033,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols",the oxford murders,oxford university professor grad student work together try stop potential series murder seemingly linked mathematical symbol,elijah wood john hurt leonor watling julie cox jim carter, lex de la iglesia
The Reef,Drama Horror Thriller,Adrienne Pickering Zoe Naylor Gyton Grantley Damian Walshe-Howling Kieran Darcy-Smith,Andrew Traucki,5.4,7.245108,A great white shark hunts the crew of a capsized sailboat along the Great Barrier Reef.,the reef,great white shark hunt crew capsized sailboat along great barrier reef,adrienne pickering zoe naylor gyton grantley damian walshe howling kieran darcy smith,andrew traucki
Eulogy,Comedy Drama,Hank Azaria Jesse Bradford Zooey Deschanel Glenne Headly Famke Janssen,Michael Clancy,6.4,9.085482,"A black comedy that follows three generations of a family, who come together for the funeral of the patriarch - unveiling a litany of family secrets and covert relationships.",eulogy,black comedy follows three generation family come together funeral patriarch unveiling litany family secret covert relationship,hank azaria jesse bradford zooey deschanel glenne headly famke janssen,michael clancy
White Noise 2: The Light,Thriller Drama Horror Fantasy,Nathan Fillion Katee Sackhoff Craig Fairbrass Adrian Holmes Teryl Rothery,Patrick Lussier,5.6,6.814247,"A man's family brought back from the verge of death, he then discovers he can identify people who are about to die.",white noise 2  the light,man family brought back verge death discovers identify people die,nathan fillion katee sackhoff craig fairbrass adrian holmes teryl rothery,patrick lussier
Beat the World,Music Drama,Tyrone Brown Mishael Morgan Nikki Grant Chase Armitage Ray Johnson,Robert Adetuyi,4.3,2.873796,"Three dance crews ï¿½ï¿½ï¿½ one Latin American, one European and one Canadian ï¿½ï¿½ï¿½ prepare to battle at the International Beat the World competition in Detroit. Along the way, they struggle with gambling debt, bad break-ups and their own egos. In the final showdown to become world champions they find that their lifelong hopes, dreams and even lives, a",beat the world,three dance crew one latin american one european one canadian prepare battle international beat world competition detroit along way struggle gambling debt bad break ups ego final showdown become world champion find lifelong hope dream even life,tyrone brown mishael morgan nikki grant chase armitage ray johnson,robert adetuyi
Fifty Dead Men Walking,Action Thriller,Ben Kingsley Jim Sturgess Kevin Zegers Rose McGowan Tom Collins,Kari Skogland,6.1,4.481897,"Based on Martin McGartland's real life story as a informant for the British Police to spy on the IRA. Taking place from 1987-1991, Martin (Jim Sturgess) works his way up the ranks of the IRA, while keeping his informant with the police Fergis (Ben Kingsley) at bay. In the process he saved numerous lives and is still in hiding from the IRA today.",fifty dead men walking,based martin mcgartland real life story informant british police spy ira taking place 1987 1991 martin jim sturgess work way rank ira keeping informant police fergis ben kingsley bay process saved numerous life still hiding ira today,ben kingsley jim sturgess kevin zegers rose mcgowan tom collins,kari skogland
Jungle Shuffle,Family Animation Adventure,Drake Bell Rob Schneider Brianne Siddall Joey D'Auria Jessica DiCicco,Taedong Park Mauricio De la Orta,6.5,1.413934,In this turbulent jungle adventure an outcast coati male has to team up with a quirky spider monkey to save a coati princess from the hands of a human poacher and his mysterious client.,jungle shuffle,turbulent jungle adventure outcast coati male team quirky spider monkey save coati princess hand human poacher mysterious client,drake bell rob schneider brianne siddall joey d auria jessica dicicco,taedong park mauricio de la orta
Adam Resurrected,Drama War,Jeff Goldblum Willem Dafoe Derek Jacobi Ayelet Zurer Hana Laslo,Paul Schrader,6.4,2.574014,"Before the war, in Berlin, Adam was an entertainer- cabaret impresario, magician, musician-loved by all until he finds himself in a concentration camp, confronted by Commandant Klein. Adam survives the camp by becoming the Klein's ""dog"", entertaining him while his wife and daughter are sent off to die. ""Adam Resurrected"" is the story of a man who once was a dog who meets a dog who once was a boy.",adam resurrected,war berlin adam entertainer cabaret impresario magician musician loved find concentration camp confronted commandant klein adam survives camp becoming klein dog entertaining wife daughter sent die adam resurrected story man dog meet dog boy,jeff goldblum willem dafoe derek jacobi ayelet zurer hana laslo,paul schrader
Of Horses and Men,Drama Romance Comedy,Ingvar Eggert Sigurðsson Charlotte Bøving Steinn Ármann Magnússon Kristbjörg Kjeld Helgi Björnsson,Benedikt Erlingsson,6.9,1.617943,A country romance about the human streak in the horse and the horse in the human. Love and death become interlaced and with terrible consequences.The fortunes of the people in the country through the horses' perception.,of horses and men,country romance human streak horse horse human love death become interlaced terrible consequence fortune people country horse perception,ingvar eggert sigur sson charlotte b ving steinn  rmann magn sson kristbj rg kjeld helgi bj rnsson,benedikt erlingsson
It's a Wonderful Afterlife,Comedy Romance,Shabana Azmi Goldy Notay Sendhil Ramamurthy Sally Hawkins Mark Addy,Gurinder Chadha,4.3,1.259968,"Indian mother Mrs Sethi's (Azmi) obsession with marrying off her daughter turns murderous. With jokes that routinely miss the mark and cringeworthy slapstick, this black comedy farce shouldn't work. Somehow, though, it does. (c) Empire Magazine",it s a wonderful afterlife,indian mother mr sethi azmi obsession marrying daughter turn murderous joke routinely miss mark cringeworthy slapstick black comedy farce work somehow though c empire magazine,shabana azmi goldy notay sendhil ramamurthy sally hawkins mark addy,gurinder chadha
The Devil's Tomb,Action Horror Thriller Science Fiction,Cuba Gooding Jr. Ray Winstone Ron Perlman Taryn Manning Stephanie Jacobsen,Jason Connery,4.0,5.099472,"Captain Mack leads an elite military unit on a search for a missing scientist, and comes face-to-face with an an ancient evil lying beneath the Middle Eastern desert. Evil that is not of this world. Evil that should never be unearthed.",the devil s tomb,captain mack lead elite military unit search missing scientist come face face ancient evil lying beneath middle eastern desert evil world evil never unearthed,cuba gooding jr  ray winstone ron perlman taryn manning stephanie jacobsen,jason connery
Partition,Drama Foreign Romance,Kristin Kreuk Jimi Mistry Neve Campbell John Light Irrfan Khan,Vic Sarin,6.4,2.131524,"Determined to leave the ravages of war behind, 38 year old Gian Singh resigns from the British Indian Army to a quiet life. His world is soon thrown in turmoil, when he suddenly finds himself responsible for the life of a 17 year old girl, traumatized by the events that separated her from her family.",partition,determined leave ravage war behind 38 year old gian singh resigns british indian army quiet life world soon thrown turmoil suddenly find responsible life 17 year old girl traumatized event separated family,kristin kreuk jimi mistry neve campbell john light irrfan khan,vic sarin
Good Intentions,Comedy,Luke Perry LeAnn Rimes Jimmi Simpson,Jim Issa,5.0,0.304566,"Meet Etta Milford. Loving Wife. Doting Mother. Armed Robber. Etta's husband constantly blows their money on make-shift inventions. When she decides to secretly take ""investment"" matters into her own hands - things quickly go awry! With their savings gone, her husband suspicious, and their children out of control, Etta concocts a scheme to get back their money and save her family.",good intentions,meet etta milford loving wife doting mother armed robber etta husband constantly blow money make shift invention decides secretly take investment matter hand thing quickly go awry saving gone husband suspicious child control etta concocts scheme get back money save family,luke perry leann rimes jimmi simpson,jim issa
